Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer,SheetName
4,CORTIPOL 250 MG I.M./I.V. ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU (1 AMPUL + 1 ENJEKSIYONLUK SU ICEREN AMPUL),4,4,SKT-2025-07:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
5,NEXIUM 40 MG ENTERIK KAPLI 28 PELLET TABLET,6,168,"SKT-2026-12:3 kutu, SKT-2027-01:3 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1
6,MUSCORIL 4 MG 2 ML 6 AMPUL,9,54,SKT-2026-05:9 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
7,"TIYOKAS MONO 12,5 MG/1 G JEL (60 G)",4,4,"SKT-2026-02:1 kutu, SKT-2026-06:3 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1
8,ARVELES 25 MG 20 FILM TABLET,9,180,SKT-2026-02:9 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
9,MUSCORIL 4 MG 20 KAPSUL,8,160,"SKT-2026-03:6 kutu, SKT-2026-02:2 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1
10,ANESTOL %5 MERHEM,5,5,SKT-2026-12:5 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
11,BUSCOPAN 20 MG/ML ENJEKSIYONLUK COZELTI (6 AMPUL),4,24,SKT-2026-12:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
12,BRUFEN 600 MG 20 FILM TABLET,3,60,SKT-2027-02:3 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
13,KATARIN 250 MG/100 MG/2 MG 30 KAPSUL,7,210,"SKT-2027-10:5 kutu, SKT-2027-09:2 kutu",DOLAP ÜSTÜ 1. KUTU,DÜ1
14,"FURADERM % 0,2 56 GR POMAD",4,4,SKT-2027-11:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
15,DICLOMEC 3 ML 75 MG 10 AMPUL,4,40,SKT-2027-01:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
16,BUSCOPAN 10 MG KAPLI TABLET (20 TABLET),5,100,SKT-2027-03:5 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
17,REFLOR 250 MG LIYOFILIZE TOZ ICEREN 10 SASE,2,20,SKT-2027-01:2 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
18,A-FERIN FORTE 650 MG 30 TABLET,7,210,SKT-2028-12:7 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
19,"TALCID 0,5 GR 40 CIG.TABLETI",6,240,SKT-2028-04:6 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
20,DIKLORON 25 MG 30 FILM TABLET,2,60,SKT-2028-05:2 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
21,APRANAX FORTE 550 MG 10 FILM KAPLI TABLET,9,90,SKT-2028-12:9 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
22,SILVERDIN % 1 40 GR KREM,5,5,SKT-2028-02:5 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
23,DICLOMEC %1 50 GR JEL,4,4,SKT-2028-01:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
24,PAROL 500 MG 30 TABLET,4,120,SKT-2029-08:4 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
25,METPAMID 10 MG 30 TABLET,3,90,SKT-2029-04:3 kutu,DOLAP ÜSTÜ 1. KUTU,DÜ1
1,ENJEKTÖR 5ML.,170,170,SKT-2029-02:170 kutu,DOLAP ÜSTÜ 2. KUTU,DÜ2
